txn_id,date,cust_id,product_id,quantity,unit_price,region
1000115,2024-01-02,C1175,P0083,4,4418,central
1000116,2024-01-02,C1216,P0096,7,4455,north
1000117,2024-01-02,C1257,P0109,10,4492,south
1000118,2024-01-02,C1298,P0122,13,4529,east
1000119,2024-01-02,C1339,P0135,16,4566,west
1000120,2024-01-02,C1380,P0148,19,4603,central
1000121,2024-01-02,C1421,P0161,2,4640,north
1000122,2024-01-02,C1462,P0174,5,4677,south
1000123,2024-01-02,C1003,P0187,8,4714,east
1000124,2024-01-02,C1044,P0200,11,4751,west
1000125,2024-01-02,C1085,P0013,14,4788,central
1000126,2024-01-02,C1126,P0026,17,4825,north
1000127,2024-01-02,C1167,P0039,20,4862,south
1000128,2024-01-02,C1208,P0052,3,4899,east
1000129,2024-01-02,C1249,P0065,6,4936,west
1000130,2024-01-02,C1290,P0078,9,4973,central
1000131,2024-01-02,C1331,P0091,12,5010,north
1000132,2024-01-02,C1372,P0104,15,5047,south
1000133,2024-01-02,C1413,P0117,18,5084,east
1000134,2024-01-02,C1454,P0130,1,5121,west
1000135,2024-01-02,C1495,P0143,4,5158,central
1000136,2024-01-02,C1036,P0156,7,5195,north
1000137,2024-01-02,C1077,P0169,10,5232,south
1000138,2024-01-02,C1118,P0182,13,5269,east
1000139,2024-01-02,C1159,P0195,16,5306,west
1000140,2024-01-02,C1200,P0008,19,5343,central
1000141,2024-01-02,C1241,P0021,2,5380,north
1000142,2024-01-02,C1282,P0034,5,5417,south
1000143,2024-01-02,C1323,P0047,8,5454,east
1000144,2024-01-02,C1364,P0060,11,5491,west
1000145,2024-01-02,C1405,P0073,14,5528,central
1000146,2024-01-02,C1446,P0086,17,5565,north
1000147,2024-01-02,C1487,P0099,20,5602,south
1000148,2024-01-02,C1028,P0112,3,5639,east
1000149,2024-01-02,C1069,P0125,6,5676,west
1000150,2024-01-02,C1110,P0138,9,5713,central
1000151,2024-01-02,C1151,P0151,12,5750,north
1000152,2024-01-02,C1192,P0164,15,5787,south
1000153,2024-01-02,C1233,P0177,18,5824,east
1000154,2024-01-02,C1274,P0190,1,5861,west
1000155,2024-01-02,C1315,P0003,4,5898,central
1000156,2024-01-02,C1356,P0016,7,5935,north
1000157,2024-01-02,C1397,P0029,10,5972,south
1000158,2024-01-02,C1438,P0042,13,6009,east
1000159,2024-01-02,C1479,P0055,16,6046,west
1000160,2024-01-02,C1020,P0068,19,6083,central
1000161,2024-01-02,C1061,P0081,2,6120,north
1000162,2024-01-02,C1102,P0094,5,6157,south
1000163,2024-01-02,C1143,P0107,8,6194,east
1000164,2024-01-02,C1184,P0120,11,6231,west
1000165,2024-01-02,C1225,P0133,14,6268,central
1000166,2024-01-02,C1266,P0146,17,6305,north
1000167,2024-01-02,C1307,P0159,20,6342,south
1000168,2024-01-02,C1348,P0172,3,6379,east
1000169,2024-01-02,C1389,P0185,6,6416,west
1000170,2024-01-02,C1430,P0198,9,6453,central
1000171,2024-01-02,C1471,P0011,12,6490,north
1000172,2024-01-02,C1012,P0024,15,6527,south
1000173,2024-01-02,C1053,P0037,18,6564,east
1000174,2024-01-02,C1094,P0050,1,6601,west
1000175,2024-01-02,C1135,P0063,4,6638,central
1000176,2024-01-02,C1176,P0076,7,6675,north
1000177,2024-01-02,C1217,P0089,10,6712,south
1000178,2024-01-02,C1258,P0102,13,6749,east
1000179,2024-01-02,C1299,P0115,16,6786,west
1000180,2024-01-02,C1340,P0128,19,6823,central
1000181,2024-01-02,C1381,P0141,2,6860,north
1000182,2024-01-02,C1422,P0154,5,6897,south
1000183,2024-01-02,C1463,P0167,8,6934,east
1000184,2024-01-02,C1004,P0180,11,6971,west
1000185,2024-01-02,C1045,P0193,14,7008,central
1000186,2024-01-02,C1086,P0006,17,7045,north
1000187,2024-01-02,C1127,P0019,20,7082,south
1000188,2024-01-02,C1168,P0032,3,7119,east
1000189,2024-01-02,C1209,P0045,6,7156,west
1000190,2024-01-02,C1250,P0058,9,7193,central
1000191,2024-01-02,C1291,P0071,12,7230,north
1000192,2024-01-02,C1332,P0084,15,7267,south
1000193,2024-01-03,C1373,P0097,18,7304,east
1000194,2024-01-03,C1414,P0110,1,7341,west
1000195,2024-01-03,C1455,P0123,4,7378,central
1000196,2024-01-03,C1496,P0136,7,7415,north
1000197,2024-01-03,C1037,P0149,10,7452,south
1000198,2024-01-03,C1078,P0162,13,7489,east
1000199,2024-01-03,C1119,P0175,16,7526,west
1000200,2024-01-03,C1160,P0188,19,7563,central
1000201,2024-01-03,C1201,P0001,2,7600,north
1000202,2024-01-03,C1242,P0014,5,7637,south
1000203,2024-01-03,C1283,P0027,8,7674,east
1000204,2024-01-03,C1324,P0040,11,7711,west
1000205,2024-01-03,C1365,P0053,14,7748,central
1000206,2024-01-03,C1406,P0066,17,7785,north
1000207,2024-01-03,C1447,P0079,20,7822,south
1000208,2024-01-03,C1488,P0092,3,7859,east
1000209,2024-01-03,C1029,P0105,6,7896,west
1000210,2024-01-03,C1070,P0118,9,7933,central
1000211,2024-01-03,C1111,P0131,12,7970,north
1000212,2024-01-03,C1152,P0144,15,8007,south
1000213,2024-01-03,C1193,P0157,18,8044,east
1000214,2024-01-03,C1234,P0170,1,8081,west
1000215,2024-01-03,C1275,P0183,4,8118,central
1000216,2024-01-03,C1316,P0196,7,8155,north
1000217,2024-01-03,C1357,P0009,10,8192,south
1000218,2024-01-03,C1398,P0022,13,8229,east
1000219,2024-01-03,C1439,P0035,16,8266,west
1000220,2024-01-03,C1480,P0048,19,8303,central
1000221,2024-01-03,C1021,P0061,2,8340,north
1000222,2024-01-03,C1062,P0074,5,8377,south
1000223,2024-01-03,C1103,P0087,8,8414,east
1000224,2024-01-03,C1144,P0100,11,8451,west
1000225,2024-01-03,C1185,P0113,14,8488,central
1000226,2024-01-03,C1226,P0126,17,8525,north
1000227,2024-01-03,C1267,P0139,20,8562,south
1000228,2024-01-03,C1308,P0152,3,8599,east
1000229,2024-01-03,C1349,P0165,6,8636,west
1000230,2024-01-03,C1390,P0178,9,8673,central
1000231,2024-01-03,C1431,P0191,12,8710,north
1000232,2024-01-03,C1472,P0004,15,8747,south
1000233,2024-01-03,C1013,P0017,18,8784,east
1000234,2024-01-03,C1054,P0030,1,8821,west
1000235,2024-01-03,C1095,P0043,4,8858,central
1000236,2024-01-03,C1136,P0056,7,8895,north
1000237,2024-01-03,C1177,P0069,10,8932,south
1000238,2024-01-03,C1218,P0082,13,8969,east
1000239,2024-01-03,C1259,P0095,16,9006,west
1000240,2024-01-03,C1300,P0108,19,9043,central
1000241,2024-01-03,C1341,P0121,2,9080,north
1000242,2024-01-03,C1382,P0134,5,9117,south
1000243,2024-01-03,C1423,P0147,8,9154,east
1000244,2024-01-03,C1464,P0160,11,9191,west
1000245,2024-01-03,C1005,P0173,14,9228,central
1000246,2024-01-03,C1046,P0186,17,9265,north
1000247,2024-01-03,C1087,P0199,20,9302,south
1000248,2024-01-03,C1128,P0012,3,9339,east
1000249,2024-01-03,C1169,P0025,6,9376,west
1000250,2024-01-03,C1210,P0038,9,9413,central
1000251,2024-01-03,C1251,P0051,12,9450,north
1000252,2024-01-03,C1292,P0064,15,9487,south
1000253,2024-01-03,C1333,P0077,18,9524,east
1000254,2024-01-03,C1374,P0090,1,9561,west
1000255,2024-01-03,C1415,P0103,4,9598,central
1000256,2024-01-03,C1456,P0116,7,9635,north
1000257,2024-01-03,C1497,P0129,10,9672,south
1000258,2024-01-03,C1038,P0142,13,9709,east
1000259,2024-01-03,C1079,P0155,16,9746,west
1000260,2024-01-03,C1120,P0168,19,9783,central
1000261,2024-01-03,C1161,P0181,2,9820,north
1000262,2024-01-03,C1202,P0194,5,9857,south
1000263,2024-01-03,C1243,P0007,8,9894,east
1000264,2024-01-03,C1284,P0020,11,9931,west
1000265,2024-01-03,C1325,P0033,14,9968,central
1000266,2024-01-03,C1366,P0046,17,105,north
1000267,2024-01-03,C1407,P0059,20,142,south
1000268,2024-01-03,C1448,P0072,3,179,east
1000269,2024-01-03,C1489,P0085,6,216,west
1000270,2024-01-03,C1030,P0098,9,253,central
1000271,2024-01-03,C1071,P0111,12,290,north
1000272,2024-01-03,C1112,P0124,15,327,south
1000273,2024-01-03,C1153,P0137,18,364,east
1000274,2024-01-03,C1194,P0150,1,401,west
1000275,2024-01-03,C1235,P0163,4,438,central
1000276,2024-01-03,C1276,P0176,7,475,north
1000277,2024-01-03,C1317,P0189,10,512,south
1000278,2024-01-03,C1358,P0002,13,549,east
1000279,2024-01-03,C1399,P0015,16,586,west
1000280,2024-01-03,C1440,P0028,19,623,central
1000281,2024-01-03,C1481,P0041,2,660,north
1000282,2024-01-03,C1022,P0054,5,697,south
1000283,2024-01-03,C1063,P0067,8,734,east
1000284,2024-01-03,C1104,P0080,11,771,west
1000285,2024-01-03,C1145,P0093,14,808,central
1000286,2024-01-03,C1186,P0106,17,845,north
1000287,2024-01-03,C1227,P0119,20,882,south
1000288,2024-01-03,C1268,P0132,3,919,east
1000289,2024-01-04,C1309,P0145,6,956,west
1000290,2024-01-04,C1350,P0158,9,993,central
1000291,2024-01-04,C1391,P0171,12,1030,north
1000292,2024-01-04,C1432,P0184,15,1067,south
1000293,2024-01-04,C1473,P0197,18,1104,east
1000294,2024-01-04,C1014,P0010,1,1141,west
1000295,2024-01-04,C1055,P0023,4,1178,central
1000296,2024-01-04,C1096,P0036,7,1215,north
1000297,2024-01-04,C1137,P0049,10,1252,south
1000298,2024-01-04,C1178,P0062,13,1289,east
1000299,2024-01-04,C1219,P0075,16,1326,west
1000300,2024-01-04,C1260,P0088,19,1363,central
1000301,2024-01-04,C1301,P0101,2,1400,north
1000302,2024-01-04,C1342,P0114,5,1437,south
1000303,2024-01-04,C1383,P0127,8,1474,east
1000304,2024-01-04,C1424,P0140,11,1511,west
1000305,2024-01-04,C1465,P0153,14,1548,central
1000306,2024-01-04,C1006,P0166,17,1585,north
1000307,2024-01-04,C1047,P0179,20,1622,south
1000308,2024-01-04,C1088,P0192,3,1659,east
1000309,2024-01-04,C1129,P0005,6,1696,west
1000310,2024-01-04,C1170,P0018,9,1733,central
1000311,2024-01-04,C1211,P0031,12,1770,north
1000312,2024-01-04,C1252,P0044,15,1807,south
1000313,2024-01-04,C1293,P0057,18,1844,east
1000314,2024-01-04,C1334,P0070,1,1881,west
1000315,2024-01-04,C1375,P0083,4,1918,central
1000316,2024-01-04,C1416,P0096,7,1955,north
1000317,2024-01-04,C1457,P0109,10,1992,south
1000318,2024-01-04,C1498,P0122,13,2029,east
1000319,2024-01-04,C1039,P0135,16,2066,west
1000320,2024-01-04,C1080,P0148,19,2103,central
1000321,2024-01-04,C1121,P0161,2,2140,north
1000322,2024-01-04,C1162,P0174,5,2177,south
1000323,2024-01-04,C1203,P0187,8,2214,east
1000324,2024-01-04,C1244,P0200,11,2251,west
1000325,2024-01-04,C1285,P0013,14,2288,central
1000326,2024-01-04,C1326,P0026,17,2325,north
1000327,2024-01-04,C1367,P0039,20,2362,south
1000328,2024-01-04,C1408,P0052,3,2399,east
1000329,2024-01-04,C1449,P0065,6,2436,west
1000330,2024-01-04,C1490,P0078,9,2473,central
1000331,2024-01-04,C1031,P0091,12,2510,north
1000332,2024-01-04,C1072,P0104,15,2547,south
1000333,2024-01-04,C1113,P0117,18,2584,east
1000334,2024-01-04,C1154,P0130,1,2621,west
1000335,2024-01-04,C1195,P0143,4,2658,central
1000336,2024-01-04,C1236,P0156,7,2695,north
1000337,2024-01-04,C1277,P0169,10,2732,south
1000338,2024-01-04,C1318,P0182,13,2769,east
1000339,2024-01-04,C1359,P0195,16,2806,west
1000340,2024-01-04,C1400,P0008,19,2843,central
1000341,2024-01-04,C1441,P0021,2,2880,north
1000342,2024-01-04,C1482,P0034,5,2917,south
1000343,2024-01-04,C1023,P0047,8,2954,east
1000344,2024-01-04,C1064,P0060,11,2991,west
1000345,2024-01-04,C1105,P0073,14,3028,central
1000346,2024-01-04,C1146,P0086,17,3065,north
1000347,2024-01-04,C1187,P0099,20,3102,south
1000348,2024-01-04,C1228,P0112,3,3139,east
1000349,2024-01-04,C1269,P0125,6,3176,west
1000350,2024-01-04,C1310,P0138,9,3213,central
1000351,2024-01-04,C1351,P0151,12,3250,north
1000352,2024-01-04,C1392,P0164,15,3287,south
1000353,2024-01-04,C1433,P0177,18,3324,east
1000354,2024-01-04,C1474,P0190,1,3361,west
1000355,2024-01-04,C1015,P0003,4,3398,central
1000356,2024-01-04,C1056,P0016,7,3435,north
1000357,2024-01-04,C1097,P0029,10,3472,south
1000358,2024-01-04,C1138,P0042,13,3509,east
1000359,2024-01-04,C1179,P0055,16,3546,west
1000360,2024-01-04,C1220,P0068,19,3583,central
1000361,2024-01-04,C1261,P0081,2,3620,north
1000362,2024-01-04,C1302,P0094,5,3657,south
1000363,2024-01-04,C1343,P0107,8,3694,east
1000364,2024-01-04,C1384,P0120,11,3731,west
1000365,2024-01-04,C1425,P0133,14,3768,central
1000366,2024-01-04,C1466,P0146,17,3805,north
1000367,2024-01-04,C1007,P0159,20,3842,south
1000368,2024-01-04,C1048,P0172,3,3879,east
1000369,2024-01-04,C1089,P0185,6,3916,west
1000370,2024-01-04,C1130,P0198,9,3953,central
1000371,2024-01-04,C1171,P0011,12,3990,north
1000372,2024-01-04,C1212,P0024,15,4027,south
1000373,2024-01-04,C1253,P0037,18,4064,east
1000374,2024-01-04,C1294,P0050,1,4101,west
1000375,2024-01-04,C1335,P0063,4,4138,central
1000376,2024-01-04,C1376,P0076,7,4175,north
1000377,2024-01-04,C1417,P0089,10,4212,south
1000378,2024-01-04,C1458,P0102,13,4249,east
1000379,2024-01-04,C1499,P0115,16,4286,west
1000380,2024-01-04,C1040,P0128,19,4323,central
1000381,2024-01-04,C1081,P0141,2,4360,north
1000382,2024-01-04,C1122,P0154,5,4397,south
1000383,2024-01-04,C1163,P0167,8,4434,east
1000384,2024-01-04,C1204,P0180,11,4471,west
1000385,2024-01-05,C1245,P0193,14,4508,central
1000386,2024-01-05,C1286,P0006,17,4545,north
1000387,2024-01-05,C1327,P0019,20,4582,south
1000388,2024-01-05,C1368,P0032,3,4619,east
1000389,2024-01-05,C1409,P0045,6,4656,west
1000390,2024-01-05,C1450,P0058,9,4693,central
1000391,2024-01-05,C1491,P0071,12,4730,north
1000392,2024-01-05,C1032,P0084,15,4767,south
1000393,2024-01-05,C1073,P0097,18,4804,east
1000394,2024-01-05,C1114,P0110,1,4841,west
1000395,2024-01-05,C1155,P0123,4,4878,central
1000396,2024-01-05,C1196,P0136,7,4915,north
1000397,2024-01-05,C1237,P0149,10,4952,south
1000398,2024-01-05,C1278,P0162,13,4989,east
1000399,2024-01-05,C1319,P0175,16,5026,west
1000400,2024-01-05,C1360,P0188,19,5063,central
1000401,2024-01-05,C1401,P0001,2,5100,north
1000402,2024-01-05,C1442,P0014,5,5137,south
1000403,2024-01-05,C1483,P0027,8,5174,east
1000404,2024-01-05,C1024,P0040,11,5211,west
1000405,2024-01-05,C1065,P0053,14,5248,central
1000406,2024-01-05,C1106,P0066,17,5285,north
1000407,2024-01-05,C1147,P0079,20,5322,south
1000408,2024-01-05,C1188,P0092,3,5359,east
1000409,2024-01-05,C1229,P0105,6,5396,west
1000410,2024-01-05,C1270,P0118,9,5433,central
1000411,2024-01-05,C1311,P0131,12,5470,north
1000412,2024-01-05,C1352,P0144,15,5507,south
1000413,2024-01-05,C1393,P0157,18,5544,east
1000414,2024-01-05,C1434,P0170,1,5581,west
1000415,2024-01-05,C1475,P0183,4,5618,central
1000416,2024-01-05,C1016,P0196,7,5655,north
1000417,2024-01-05,C1057,P0009,10,5692,south
1000418,2024-01-05,C1098,P0022,13,5729,east
1000419,2024-01-05,C1139,P0035,16,5766,west
1000420,2024-01-05,C1180,P0048,19,5803,central
1000421,2024-01-05,C1221,P0061,2,5840,north
1000422,2024-01-05,C1262,P0074,5,5877,south
1000423,2024-01-05,C1303,P0087,8,5914,east
1000424,2024-01-05,C1344,P0100,11,5951,west
1000425,2024-01-05,C1385,P0113,14,5988,central
1000426,2024-01-05,C1426,P0126,17,6025,north
1000427,2024-01-05,C1467,P0139,20,6062,south
1000428,2024-01-05,C1008,P0152,3,6099,east
1000429,2024-01-05,C1049,P0165,6,6136,west
1000430,2024-01-05,C1090,P0178,9,6173,central
1000431,2024-01-05,C1131,P0191,12,6210,north
1000432,2024-01-05,C1172,P0004,15,6247,south
1000433,2024-01-05,C1213,P0017,18,6284,east
1000434,2024-01-05,C1254,P0030,1,6321,west
1000435,2024-01-05,C1295,P0043,4,6358,central
1000436,2024-01-05,C1336,P0056,7,6395,north
1000437,2024-01-05,C1377,P0069,10,6432,south
1000438,2024-01-05,C1418,P0082,13,6469,east
1000439,2024-01-05,C1459,P0095,16,6506,west
1000440,2024-01-05,C1500,P0108,19,6543,central
1000441,2024-01-05,C1041,P0121,2,6580,north
1000442,2024-01-05,C1082,P0134,5,6617,south
1000443,2024-01-05,C1123,P0147,8,6654,east
1000444,2024-01-05,C1164,P0160,11,6691,west
1000445,2024-01-05,C1205,P0173,14,6728,central
1000446,2024-01-05,C1246,P0186,17,6765,north
1000447,2024-01-05,C1287,P0199,20,6802,south
1000448,2024-01-05,C1328,P0012,3,6839,east
1000449,2024-01-05,C1369,P0025,6,6876,west
1000450,2024-01-05,C1410,P0038,9,6913,central
1000451,2024-01-05,C1451,P0051,12,6950,north
1000452,2024-01-05,C1492,P0064,15,6987,south
1000453,2024-01-05,C1033,P0077,18,7024,east
1000454,2024-01-05,C1074,P0090,1,7061,west
1000455,2024-01-05,C1115,P0103,4,7098,central
1000456,2024-01-05,C1156,P0116,7,7135,north
1000457,2024-01-05,C1197,P0129,10,7172,south
1000458,2024-01-05,C1238,P0142,13,7209,east
1000459,2024-01-05,C1279,P0155,16,7246,west
1000460,2024-01-05,C1320,P0168,19,7283,central
1000461,2024-01-05,C1361,P0181,2,7320,north
1000462,2024-01-05,C1402,P0194,5,7357,south
1000463,2024-01-05,C1443,P0007,8,7394,east
1000464,2024-01-05,C1484,P0020,11,7431,west
1000465,2024-01-05,C1025,P0033,14,7468,central
1000466,2024-01-05,C1066,P0046,17,7505,north
1000467,2024-01-05,C1107,P0059,20,7542,south
1000468,2024-01-05,C1148,P0072,3,7579,east
1000469,2024-01-05,C1189,P0085,6,7616,west
1000470,2024-01-05,C1230,P0098,9,7653,central
1000471,2024-01-05,C1271,P0111,12,7690,north
1000472,2024-01-05,C1312,P0124,15,7727,south
1000473,2024-01-05,C1353,P0137,18,7764,east
1000474,2024-01-05,C1394,P0150,1,7801,west
1000475,2024-01-05,C1435,P0163,4,7838,central
1000476,2024-01-05,C1476,P0176,7,7875,north
1000477,2024-01-05,C1017,P0189,10,7912,south
1000478,2024-01-05,C1058,P0002,13,7949,east
1000479,2024-01-05,C1099,P0015,16,7986,west
1000480,2024-01-05,C1140,P0028,19,8023,central
1000481,2024-01-06,C1181,P0041,2,8060,north
1000482,2024-01-06,C1222,P0054,5,8097,south
1000483,2024-01-06,C1263,P0067,8,8134,east
1000484,2024-01-06,C1304,P0080,11,8171,west
1000485,2024-01-06,C1345,P0093,14,8208,central
1000486,2024-01-06,C1386,P0106,17,8245,north
1000487,2024-01-06,C1427,P0119,20,8282,south
1000488,2024-01-06,C1468,P0132,3,8319,east
1000489,2024-01-06,C1009,P0145,6,8356,west
1000490,2024-01-06,C1050,P0158,9,8393,central
1000491,2024-01-06,C1091,P0171,12,8430,north
1000492,2024-01-06,C1132,P0184,15,8467,south
1000493,2024-01-06,C1173,P0197,18,8504,east
1000494,2024-01-06,C1214,P0010,1,8541,west
1000495,2024-01-06,C1255,P0023,4,8578,central
1000496,2024-01-06,C1296,P0036,7,8615,north
1000497,2024-01-06,C1337,P0049,10,8652,south
1000498,2024-01-06,C1378,P0062,13,8689,east
1000499,2024-01-06,C1419,P0075,16,8726,west
1000500,2024-01-06,C1460,P0088,19,8763,central
1000501,2024-01-06,C1001,P0101,2,8800,north
1000502,2024-01-06,C1042,P0114,5,8837,south
1000503,2024-01-06,C1083,P0127,8,8874,east
1000504,2024-01-06,C1124,P0140,11,8911,west
1000505,2024-01-06,C1165,P0153,14,8948,central
1000506,2024-01-06,C1206,P0166,17,8985,north
1000507,2024-01-06,C1247,P0179,20,9022,south
1000508,2024-01-06,C1288,P0192,3,9059,east
1000509,2024-01-06,C1329,P0005,6,9096,west
1000510,2024-01-06,C1370,P0018,9,9133,central
1000511,2024-01-06,C1411,P0031,12,9170,north
1000512,2024-01-06,C1452,P0044,15,9207,south
1000513,2024-01-06,C1493,P0057,18,9244,east
1000514,2024-01-06,C1034,P0070,1,9281,west
1000515,2024-01-06,C1075,P0083,4,9318,central
1000516,2024-01-06,C1116,P0096,7,9355,north
1000517,2024-01-06,C1157,P0109,10,9392,south
1000518,2024-01-06,C1198,P0122,13,9429,east
1000519,2024-01-06,C1239,P0135,16,9466,west
1000520,2024-01-06,C1280,P0148,19,9503,central
1000521,2024-01-06,C1321,P0161,2,9540,north
1000522,2024-01-06,C1362,P0174,5,9577,south
1000523,2024-01-06,C1403,P0187,8,9614,east
1000524,2024-01-06,C1444,P0200,11,9651,west
1000525,2024-01-06,C1485,P0013,14,9688,central
1000526,2024-01-06,C1026,P0026,17,9725,north
1000527,2024-01-06,C1067,P0039,20,9762,south
1000528,2024-01-06,C1108,P0052,3,9799,east
1000529,2024-01-06,C1149,P0065,6,9836,west
1000530,2024-01-06,C1190,P0078,9,9873,central
1000531,2024-01-06,C1231,P0091,12,9910,north
1000532,2024-01-06,C1272,P0104,15,9947,south
1000533,2024-01-06,C1313,P0117,18,9984,east
1000534,2024-01-06,C1354,P0130,1,121,west
1000535,2024-01-06,C1395,P0143,4,158,central
1000536,2024-01-06,C1436,P0156,7,195,north
1000537,2024-01-06,C1477,P0169,10,232,south
1000538,2024-01-06,C1018,P0182,13,269,east
